“Exporter","Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
“Belgium","Africa","af","Guinea","afgin","gin",530,2018
“Belgium","Africa","af","Morocco","afmar","mar",113651,2018
“Belgium","Asia","as","Armenia","asarm","arm",61912,2018
“Belgium","Asia","as","Azerbaijan","asaze","aze",11418,2018
“Belgium","Asia","as","Cyprus","ascyp","cyp",1403,2018
“Belgium","Asia","as","Georgia","asgeo","geo",51915,2018
“Belgium","Asia","as","Israel","asisr","isr",53000,2018
“Belgium","Asia","as","Japan","asjpn","jpn",50447,2018
“Belgium","Asia","as","Kazakhstan","askaz","kaz",8480,2018
“Belgium","Asia","as","South Korea","askor","kor",16814,2018
“Belgium","Asia","as","Turkey","astur","tur",331799,2018
“Belgium","Europe","eu","Austria","euaut","aut",847540,2018
“Belgium","Europe","eu","Bulgaria","eubgr","bgr",22720,2018
“Belgium","Europe","eu","Switzerland","euche","che",132870,2018
“Belgium","Europe","eu","Czechia","eucze","cze",82786,2018
“Belgium","Europe","eu","Germany","eudeu","deu",1160644,2018
“Belgium","Europe","eu","Denmark","eudnk","dnk",937526,2018
“Belgium","Europe","eu","Spain","euesp","esp",1144670,2018
“Belgium","Europe","eu","Estonia","euest","est",36445,2018
“Belgium","Europe","eu","Finland","eufin","fin",411611,2018
“Belgium","Europe","eu","France","eufra","fra",3234455,2018
“Belgium","Europe","eu","United Kingdom","eugbr","gbr",935642,2018
“Belgium","Europe","eu","Greece","eugrc","grc",17885,2018
“Belgium","Europe","eu","Croatia","euhrv","hrv",100516,2018
“Belgium","Europe","eu","Hungary","euhun","hun",346385,2018
“Belgium","Europe","eu","Italy","euita","ita",183260,2018
“Belgium","Europe","eu","Lithuania","eultu","ltu",19028,2018
“Belgium","Europe","eu","Luxembourg","eulux","lux",195,2018
“Belgium","Europe","eu","Latvia","eulva","lva",54441,2018
“Belgium","Europe","eu","North Macedonia","eumkd","mkd",31150,2018
“Belgium","Europe","eu","Malta","eumlt","mlt",8132,2018
“Belgium","Europe","eu","Netherlands","eunld","nld",9920241,2018
“Belgium","Europe","eu","Norway","eunor","nor",71804,2018
“Belgium","Europe","eu","Poland","eupol","pol",1271128,2018
“Belgium","Europe","eu","Romania","eurou","rou",38665,2018
“Belgium","Europe","eu","Russia","eurus","rus",496950,2018
“Belgium","Europe","eu","Serbia","eusrb","srb",25840,2018
“Belgium","Europe","eu","Slovakia","eusvk","svk",36059,2018
“Belgium","Europe","eu","Sweden","euswe","swe",285150,2018
“Belgium","North America","na","Canada","nacan","can",1157923,2018
“Belgium","North America","na","Dominican Republic","nadom","dom",2559,2018
“Belgium","North America","na","United States","nausa","usa",1522561,2018
“Belgium","Oceania","oc","Australia","ocaus","aus",2354,2018
“Belgium","South America","sa","Uruguay","saury","ury",25669,2018
“Belgium","Africa","af","Algeria","afdza","dza",14763,2019
“Belgium","Africa","af","Guinea","afgin","gin",8710,2019
“Belgium","Africa","af","Morocco","afmar","mar",188084,2019
“Belgium","Africa","af","Nigeria","afnga","nga",251,2019
“Belgium","Africa","af","Senegal","afsen","sen",1077,2019
“Belgium","Africa","af","South Africa","afzaf","zaf",14071,2019
“Belgium","Asia","as","United Arab Emirates","asare","are",122008,2019
“Belgium","Asia","as","Armenia","asarm","arm",38484,2019
“Belgium","Asia","as","Azerbaijan","asaze","aze",189176,2019
“Belgium","Asia","as","China","aschn","chn",31212,2019
“Belgium","Asia","as","Cyprus","ascyp","cyp",3560,2019
“Belgium","Asia","as","Georgia","asgeo","geo",42026,2019
“Belgium","Asia","as","India","asind","ind",11229,2019
“Belgium","Asia","as","Japan","asjpn","jpn",568226,2019
“Belgium","Asia","as","South Korea","askor","kor",91028,2019
“Belgium","Asia","as","Saudi Arabia","assau","sau",8216,2019
“Belgium","Asia","as","Turkey","astur","tur",308694,2019
“Belgium","Asia","as","Chinese Taipei","asxxb",,953,2019
“Belgium","Europe","eu","Albania","eualb","alb",1558,2019
“Belgium","Europe","eu","Austria","euaut","aut",984928,2019
“Belgium","Europe","eu","Bulgaria","eubgr","bgr",16414,2019
“Belgium","Europe","eu","Belarus","eublr","blr",1225,2019
“Belgium","Europe","eu","Switzerland","euche","che",188024,2019
“Belgium","Europe","eu","Czechia","eucze","cze",14379,2019
“Belgium","Europe","eu","Germany","eudeu","deu",990583,2019
“Belgium","Europe","eu","Denmark","eudnk","dnk",1279419,2019
“Belgium","Europe","eu","Spain","euesp","esp",1248231,2019
“Belgium","Europe","eu","Estonia","euest","est",39109,2019
“Belgium","Europe","eu","Finland","eufin","fin",488359,2019
“Belgium","Europe","eu","France","eufra","fra",3985788,2019
“Belgium","Europe","eu","United Kingdom","eugbr","gbr",5902347,2019
“Belgium","Europe","eu","Greece","eugrc","grc",115071,2019
“Belgium","Europe","eu","Croatia","euhrv","hrv",81433,2019
“Belgium","Europe","eu","Hungary","euhun","hun",387606,2019
“Belgium","Europe","eu","Ireland","euirl","irl",754,2019
“Belgium","Europe","eu","Italy","euita","ita",87412,2019
“Belgium","Europe","eu","Lithuania","eultu","ltu",125029,2019
“Belgium","Europe","eu","Luxembourg","eulux","lux",211,2019
“Belgium","Europe","eu","Latvia","eulva","lva",90899,2019
“Belgium","Europe","eu","Moldova","eumda","mda",11733,2019
“Belgium","Europe","eu","North Macedonia","eumkd","mkd",32236,2019
“Belgium","Europe","eu","Malta","eumlt","mlt",42190,2019
“Belgium","Europe","eu","Netherlands","eunld","nld",8586388,2019
“Belgium","Europe","eu","Norway","eunor","nor",97274,2019
“Belgium","Europe","eu","Poland","eupol","pol",1363355,2019
“Belgium","Europe","eu","Romania","eurou","rou",52432,2019
“Belgium","Europe","eu","Russia","eurus","rus",1096006,2019
“Belgium","Europe","eu","Serbia","eusrb","srb",68035,2019
“Belgium","Europe","eu","Slovakia","eusvk","svk",58081,2019
“Belgium","Europe","eu","Sweden","euswe","swe",191287,2019
“Belgium","North America","na","Canada","nacan","can",9055579,2019
“Belgium","North America","na","Costa Rica","nacri","cri",75704,2019
“Belgium","North America","na","Dominican Republic","nadom","dom",4272,2019
“Belgium","North America","na","Mexico","namex","mex",112931,2019
“Belgium","North America","na","United States","nausa","usa",2543935,2019
“Belgium","Oceania","oc","Australia","ocaus","aus",2339,2019
“Belgium","South America","sa","Chile","sachl","chl",5682,2019
“Belgium","South America","sa","Uruguay","saury","ury",8584,2019
“Belgium","Africa","af","Guinea","afgin","gin",45,2020
“Belgium","Africa","af","Kenya","afken","ken",444,2020
“Belgium","Africa","af","Morocco","afmar","mar",177661,2020
“Belgium","Africa","af","Senegal","afsen","sen",420,2020
“Belgium","Africa","af","Togo","aftgo","tgo",511,2020
“Belgium","Africa","af","South Africa","afzaf","zaf",50605,2020
“Belgium","Asia","as","United Arab Emirates","asare","are",105694,2020
“Belgium","Asia","as","Armenia","asarm","arm",169664,2020
“Belgium","Asia","as","Azerbaijan","asaze","aze",73715,2020
“Belgium","Asia","as","Cyprus","ascyp","cyp",14145,2020
“Belgium","Asia","as","Georgia","asgeo","geo",47413,2020
“Belgium","Asia","as","Israel","asisr","isr",29369,2020
“Belgium","Asia","as","Japan","asjpn","jpn",375067,2020
“Belgium","Asia","as","South Korea","askor","kor",249278,2020
“Belgium","Asia","as","Saudi Arabia","assau","sau",8743,2020
“Belgium","Asia","as","Turkey","astur","tur",355352,2020
“Belgium","Asia","as","Uzbekistan","asuzb","uzb",104094,2020
“Belgium","Europe","eu","Albania","eualb","alb",27010,2020
“Belgium","Europe","eu","Austria","euaut","aut",1102953,2020
“Belgium","Europe","eu","Bulgaria","eubgr","bgr",27191,2020
“Belgium","Europe","eu","Bosnia and Herzegovina","eubih","bih",6210,2020
“Belgium","Europe","eu","Belarus","eublr","blr",2943,2020
“Belgium","Europe","eu","Switzerland","euche","che",198959,2020
“Belgium","Europe","eu","Czechia","eucze","cze",9419,2020
“Belgium","Europe","eu","Germany","eudeu","deu",1806571,2020
“Belgium","Europe","eu","Denmark","eudnk","dnk",1869340,2020
“Belgium","Europe","eu","Spain","euesp","esp",3087564,2020
“Belgium","Europe","eu","Estonia","euest","est",34873,2020
“Belgium","Europe","eu","Finland","eufin","fin",551185,2020
“Belgium","Europe","eu","France","eufra","fra",3791374,2020
“Belgium","Europe","eu","United Kingdom","eugbr","gbr",4375514,2020
“Belgium","Europe","eu","Greece","eugrc","grc",170112,2020
“Belgium","Europe","eu","Croatia","euhrv","hrv",105510,2020
“Belgium","Europe","eu","Hungary","euhun","hun",445803,2020
“Belgium","Europe","eu","Italy","euita","ita",93844,2020
“Belgium","Europe","eu","Lithuania","eultu","ltu",19795,2020
“Belgium","Europe","eu","Luxembourg","eulux","lux",418,2020
“Belgium","Europe","eu","Latvia","eulva","lva",89896,2020
“Belgium","Europe","eu","Moldova","eumda","mda",45261,2020
“Belgium","Europe","eu","North Macedonia","eumkd","mkd",3122,2020
“Belgium","Europe","eu","Malta","eumlt","mlt",36729,2020
“Belgium","Europe","eu","Netherlands","eunld","nld",2169452,2020
“Belgium","Europe","eu","Norway","eunor","nor",103938,2020
“Belgium","Europe","eu","Poland","eupol","pol",1127425,2020
“Belgium","Europe","eu","Romania","eurou","rou",46820,2020
“Belgium","Europe","eu","Russia","eurus","rus",1009444,2020
“Belgium","Europe","eu","Serbia","eusrb","srb",105284,2020
“Belgium","Europe","eu","Slovakia","eusvk","svk",61622,2020
“Belgium","Europe","eu","Sweden","euswe","swe",94114,2020
“Belgium","Europe","eu","Ukraine","euukr","ukr",55108,2020
“Belgium","North America","na","Canada","nacan","can",9773388,2020
“Belgium","North America","na","Costa Rica","nacri","cri",79955,2020
“Belgium","North America","na","Dominican Republic","nadom","dom",5569,2020
“Belgium","North America","na","Mexico","namex","mex",254155,2020
“Belgium","North America","na","United States","nausa","usa",3484847,2020
“Belgium","South America","sa","Uruguay","saury","ury",4230,2020
“Belgium","Africa","af","Democratic Republic of the Congo","afcod","cod",6,2021
“Belgium","Africa","af","Kenya","afken","ken",7699,2021
“Belgium","Africa","af","Morocco","afmar","mar",173548,2021
“Belgium","Asia","as","United Arab Emirates","asare","are",31069,2021
“Belgium","Asia","as","Armenia","asarm","arm",311695,2021
“Belgium","Asia","as","Azerbaijan","asaze","aze",84280,2021
“Belgium","Asia","as","Cyprus","ascyp","cyp",7882,2021
“Belgium","Asia","as","Georgia","asgeo","geo",33953,2021
“Belgium","Asia","as","Israel","asisr","isr",59,2021
“Belgium","Asia","as","Japan","asjpn","jpn",6904,2021
“Belgium","Asia","as","South Korea","askor","kor",39300,2021
“Belgium","Asia","as","Oman","asomn","omn",1560,2021
“Belgium","Asia","as","Turkey","astur","tur",564585,2021
“Belgium","Asia","as","Uzbekistan","asuzb","uzb",53292,2021
“Belgium","Europe","eu","Austria","euaut","aut",1240440,2021
“Belgium","Europe","eu","Bulgaria","eubgr","bgr",262122,2021
“Belgium","Europe","eu","Belarus","eublr","blr",7888,2021
“Belgium","Europe","eu","Switzerland","euche","che",123434,2021
“Belgium","Europe","eu","Czechia","eucze","cze",121681,2021
“Belgium","Europe","eu","Germany","eudeu","deu",1977514,2021
“Belgium","Europe","eu","Denmark","eudnk","dnk",2947917,2021
“Belgium","Europe","eu","Spain","euesp","esp",4101474,2021
“Belgium","Europe","eu","Estonia","euest","est",44323,2021
“Belgium","Europe","eu","Finland","eufin","fin",581017,2021
“Belgium","Europe","eu","France","eufra","fra",5664785,2021
“Belgium","Europe","eu","United Kingdom","eugbr","gbr",7012545,2021
“Belgium","Europe","eu","Greece","eugrc","grc",518968,2021
“Belgium","Europe","eu","Croatia","euhrv","hrv",101542,2021
“Belgium","Europe","eu","Hungary","euhun","hun",562563,2021
“Belgium","Europe","eu","Ireland","euirl","irl",35,2021
“Belgium","Europe","eu","Italy","euita","ita",156556,2021
“Belgium","Europe","eu","Lithuania","eultu","ltu",155761,2021
“Belgium","Europe","eu","Luxembourg","eulux","lux",786,2021
“Belgium","Europe","eu","Latvia","eulva","lva",103243,2021
“Belgium","Europe","eu","Moldova","eumda","mda",12245,2021
“Belgium","Europe","eu","North Macedonia","eumkd","mkd",19620,2021
“Belgium","Europe","eu","Malta","eumlt","mlt",47415,2021
“Belgium","Europe","eu","Netherlands","eunld","nld",4681685,2021
“Belgium","Europe","eu","Norway","eunor","nor",106040,2021
“Belgium","Europe","eu","Poland","eupol","pol",1443828,2021
“Belgium","Europe","eu","Romania","eurou","rou",60415,2021
“Belgium","Europe","eu","Russia","eurus","rus",699300,2021
“Belgium","Europe","eu","Serbia","eusrb","srb",129726,2021
“Belgium","Europe","eu","Slovakia","eusvk","svk",129237,2021
“Belgium","Europe","eu","Sweden","euswe","swe",225769,2021
“Belgium","Europe","eu","Ukraine","euukr","ukr",61547,2021
“Belgium","North America","na","Canada","nacan","can",7441307,2021
“Belgium","North America","na","Costa Rica","nacri","cri",110342,2021
“Belgium","North America","na","Guatemala","nagtm","gtm",3279,2021
“Belgium","North America","na","Mexico","namex","mex",846270,2021
“Belgium","North America","na","Nicaragua","nanic","nic",635,2021
“Belgium","North America","na","United States","nausa","usa",4111582,2021
“Belgium","South America","sa","Chile","sachl","chl",3577,2021
“Belgium","South America","sa","Uruguay","saury","ury",1421,2021
