Node,Layer,Interlayer Centrality,Eigenvector Centrality,Connections
acidity,0,5,0.127075,
appearance,0,4,0.138465,
chocolatecovered,0,5,0.169686,
colorful,0,6,0.130777,"connects with node colorful, in Layer 1"
combination,0,8,0.203792,"connects with node combination, in Layer 1"
creaminess,0,4,0.199724,
creamy,0,6,0.177639,
creativity,0,7,0.226731,
crispiness,0,4,0.137767,
crispness,0,6,0.218445,
crispy,0,11,0.317322*,"connects with node crispy, in Layer 1"
crunch,0,6,0.116059,"connects with node crunch, in Layer 1"
crunchiness,0,7,0.181058,"connects with node crunchiness, in Layer 1"
crunchy,0,14,0.295821***,"connects with node crunchy, in Layer 1"
experience,0,8,0.173281,"connects with node experience, in Layer 1"
fried,0,3,0.123813,
grilled,0,4,0.050705,"connects with node grilled, in Layer 1"
juiciness,0,5,0.075824,"connects with node juiciness, in Layer 1"
juicy,0,8,0.292929,
mixing,0,2,0.060779,
sensation,0,3,0.099376,
smoky,0,3,0.128612,
smooth,0,8,0.31519**,
smoothness,0,7,0.151894,
softness,0,2,0.045373,
spicy,0,8,0.158148,"connects with node spicy, in Layer 1"
sweet,0,7,0.119293,"connects with node sweet, in Layer 1"
sweetness,0,9,0.250967,"connects with node sweetness, in Layer 1"
tender,0,3,0.089275,
texture,0,9,0.221316,"connects with node texture, in Layer 1"
abundant,1,2,0.095002,
affordability,1,7,0.24797,
colorful,1,3,0.046141,
combination,1,11,0.29344***,
crispy,1,2,0.0,
crunch,1,6,0.095002,"connects with node crunch, in Layer 2"
crunchiness,1,4,0.095002,
crunchy,1,2,0.0,
deliciousness,1,2,0.095002,
enjoyment,1,6,0.211382,
experience,1,9,0.247727,
fastfood,1,2,0.095002,
fitness,1,2,0.095002,
grilled,1,7,0.191788,
homecooked,1,2,0.095002,
integral,1,2,0.095002,
juiciness,1,11,0.273941,
sliminess,1,4,0.095002,"connects with node sliminess, in Layer 2"
smoked,1,8,0.271354,
spiciness,1,2,0.095002,
spicy,1,8,0.213482,
sweet,1,25,0.423423*,"connects with node sweet, in Layer 2"
sweetness,1,4,0.095002,
texture,1,23,0.399856**,
wellbeing,1,8,0.273381,
chewiness,2,3,0.188013,
crispness,2,5,0.268435,
crunch,2,14,0.436232*,
ecofriendly,2,3,0.188013,
fried,2,2,0.131334,
insectinfused,2,2,0.124151,
mouthfeel,2,3,0.188013,
mushy,2,6,0.203579,"connects with node mushy, in Layer 3"
overcooked,2,3,0.188013,
pastiness,2,5,0.268435,
salty,2,2,0.112796,
sliminess,2,5,0.180268,
slimy,2,12,0.366454***,"connects with node slimy, in Layer 3"
sweet,2,16,0.412893**,"connects with node sweet, in Layer 3"
tasteless,2,2,0.0,"connects with node tasteless, in Layer 3"
tenderness,2,7,0.316379,
bitterness,3,5,0.259743,
bloody,3,3,0.175859,
briny,3,6,0.296172,
creamy,3,4,0.205195,
crunchiness,3,5,0.249162,
insect,3,10,0.400342**,
juiciness,3,2,0.117327,
mushy,3,9,0.323695,
saturated,3,2,0.117327,
slimy,3,12,0.372205***,
sweet,3,14,0.430273*,
tasteless,3,7,0.250044,
visceral,3,3,0.175859,
