Sum - Trade Value,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exporter,Angola,Argentina,Australia,Austria,Bahamas,Bahrain,Belgium,Benin,Bolivia,Botswana,Canada,Cayman Islands,Chile,China,Chinese Taipei,Comoros,Costa Rica,Czechia,Democratic Republic of the Congo,Denmark,Dominican Republic,Ethiopia,Finland,France,Germany,Greece,Guatemala,Honduras,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Kenya,Lesotho,Liberia,Madagascar,Malawi,Malta,Marshall Islands,Mexico,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Norway,Panama,Paraguay,Poland,Portugal,Russia,Singapore,South Africa,South Korea,Spain,Sweden,Switzerland,Tanzania,Thailand,Turkey,Uganda,United Arab Emirates,United Kingdom,United States,Uruguay,Vietnam,Zambia,Zimbabwe,Total Result,,,
Angola,,,,,,,,,,,,,,,,,,,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,,,
Argentina,,,,184,,,,,48708,,,,19024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,244903,,,,312839,,,
Australia,,,,20,,135813,,,,,1771,,,2394,,,,529,,,,,,1638,7600,,,,4793,,,,,,176342,,,,,,,,,,,,,5472,,,,,,3380,262,49,49,146,,1521,,293,,,,9068,,,,,,351140,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,8342,,,,,,,,,,,,,,,,8385,,,
Brazil,,151,,,460,,39,,,,,90,,4290,,76,,,,45,,,,,566,110,,,679,,,,,,,,,1317,,,653,996,,,569,,24,,294,593,9214,,197,,71,,22,,,,,,,,,164,80,,,,,20700,,,
Canada,,,,70,,,319,,,,,,,711,,,154891,22924,,,,,,8023,1578,,,,,,,983,2000,,2081,,,,,,,,,,,,104963,25383,,1392,,,,233802,13,,4257,,,124,,,,,,280807,23826322,,,,,24670643,,"24,670,643.00",Canada
Chile,,,,,,,138,,,,21185,,,,,,,,,,,,,22479,6612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330869,,,,,,,,,,,,,,381283,,,
Colombia,,,,227,,,,,,,1892,,,,,,,,,,,,,,182145,,,,,,304,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39211,7236,80923,,,,,313438,,"313,438.00",Colombia
