Exporter,ExporterCode,Continent,Continent ID,Importer,Country ID,ImporterCode,TradeValue,Year
Colombia,COL,Asia,as,United Arab Emirates,asare,ARE,16553,2018
Colombia,COL,Europe,eu,Austria,euaut,AUT,227,2018
Colombia,COL,North America,na,United States,nausa,USA,15297,2018
Colombia,COL,Asia,as,United Arab Emirates,asare,ARE,12859,2019
Colombia,COL,Europe,eu,United Kingdom,eugbr,GBR,7236,2019
Colombia,COL,North America,na,United States,nausa,USA,62145,2019
Colombia,COL,Asia,as,United Arab Emirates,asare,ARE,9799,2020
Colombia,COL,Europe,eu,Germany,eudeu,DEU,23722,2020
Colombia,COL,North America,na,United States,nausa,USA,3481,2020
Colombia,COL,Asia,as,India,asind,IND,304,2021
Colombia,COL,Asia,as,Japan,asjpn,JPN,1500,2021
Colombia,COL,Europe,eu,Germany,eudeu,DEU,158423,2021
Colombia,COL,North America,na,Canada,nacan,CAN,1892,2021
Angola,AGO,Africa,af,Democratic Republic of the Congo,afcod,COD,701,2021
Argentina,ARG,Europe,eu,Austria,euaut,AUT,184,2018
Argentina,ARG,South America,sa,Uruguay,saury,URY,28321,2018
Argentina,ARG,South America,sa,Uruguay,saury,URY,26931,2019
Argentina,ARG,South America,sa,Uruguay,saury,URY,97856,2020
Argentina,ARG,Africa,af,South Africa,afzaf,ZAF,20,2021
Argentina,ARG,South America,sa,Bolivia,sabol,BOL,48708,2021
Argentina,ARG,South America,sa,Chile,sachl,CHL,19024,2021
Argentina,ARG,South America,sa,Uruguay,saury,URY,91795,2021
Australia,AUS,Asia,as,Hong Kong,ashkg,HKG,4793,2018
Australia,AUS,Asia,as,Japan,asjpn,JPN,2163,2018
Australia,AUS,Asia,as,Singapore,assgp,SGP,21,2018
Australia,AUS,Europe,eu,Germany,eudeu,DEU,880,2018
Australia,AUS,North America,na,Canada,nacan,CAN,1351,2018
Australia,AUS,Asia,as,China,aschn,CHN,125,2019
Australia,AUS,Asia,as,Japan,asjpn,JPN,2958,2019
Australia,AUS,Asia,as,Thailand,astha,THA,293,2019
Australia,AUS,Europe,eu,Switzerland,euche,CHE,19,2019
Australia,AUS,North America,na,Canada,nacan,CAN,1,2019
Australia,AUS,Asia,as,Bahrain,asbhr,BHR,10271,2020
Australia,AUS,Asia,as,China,aschn,CHN,1088,2020
Australia,AUS,Asia,as,Japan,asjpn,JPN,14050,2020
Australia,AUS,Asia,as,South Korea,askor,KOR,24,2020
Australia,AUS,Asia,as,Singapore,assgp,SGP,3,2020
Australia,AUS,Europe,eu,Germany,eudeu,DEU,2009,2020
Australia,AUS,Europe,eu,Spain,euesp,ESP,71,2020
Australia,AUS,Europe,eu,France,eufra,FRA,1638,2020
Australia,AUS,Europe,eu,United Kingdom,eugbr,GBR,7566,2020
Australia,AUS,North America,na,Canada,nacan,CAN,419,2020
Australia,AUS,Oceania,oc,New Zealand,ocnzl,NZL,5472,2020
Australia,AUS,Africa,af,South Africa,afzaf,ZAF,49,2021
Australia,AUS,Asia,as,Bahrain,asbhr,BHR,125542,2021
Australia,AUS,Asia,as,China,aschn,CHN,1181,2021
Australia,AUS,Asia,as,Japan,asjpn,JPN,157171,2021
Australia,AUS,Asia,as,South Korea,askor,KOR,25,2021
Australia,AUS,Asia,as,Singapore,assgp,SGP,238,2021
Australia,AUS,Europe,eu,Austria,euaut,AUT,20,2021
Australia,AUS,Europe,eu,Switzerland,euche,CHE,1502,2021
Australia,AUS,Europe,eu,Czechia,eucze,CZE,529,2021
Australia,AUS,Europe,eu,Germany,eudeu,DEU,4711,2021
Australia,AUS,Europe,eu,Spain,euesp,ESP,75,2021
Australia,AUS,Europe,eu,United Kingdom,eugbr,GBR,1502,2021
Australia,AUS,Europe,eu,Russia,eurus,RUS,3380,2021
Barbados,BRB,North America,na,Mexico,namex,MEX,5000,2019
Benin,BEN,Europe,eu,Greece,eugrc,GRC,237,2021
Botswana,BWA,Africa,af,Namibia,afnam,NAM,43,2019
Botswana,BWA,Africa,af,South Africa,afzaf,ZAF,8342,2021
Brazil,BRA,Europe,eu,Germany,eudeu,DEU,75,2018
Brazil,BRA,Europe,eu,Malta,eumlt,MLT,215,2018
Brazil,BRA,North America,na,Panama,napan,PAN,22,2018
Brazil,BRA,North America,na,United States,nausa,USA,80,2018
Brazil,BRA,Oceania,oc,Marshall Islands,ocmhl,MHL,286,2018
Brazil,BRA,Africa,af,Comoros,afcom,COM,76,2019
Brazil,BRA,Africa,af,Liberia,aflbr,LBR,510,2019
Brazil,BRA,Asia,as,Hong Kong,ashkg,HKG,327,2019
Brazil,BRA,Asia,as,South Korea,askor,KOR,22,2019
Brazil,BRA,Asia,as,Singapore,assgp,SGP,71,2019
Brazil,BRA,Europe,eu,Germany,eudeu,DEU,10,2019
Brazil,BRA,Europe,eu,Greece,eugrc,GRC,88,2019
Brazil,BRA,Europe,eu,Malta,eumlt,MLT,415,2019
Brazil,BRA,Europe,eu,Norway,eunor,NOR,247,2019
Brazil,BRA,Europe,eu,Portugal,euprt,PRT,197,2019
Brazil,BRA,North America,na,Bahamas,nabhs,BHS,286,2019
Brazil,BRA,North America,na,Cayman Islands,nacym,CYM,90,2019
Brazil,BRA,North America,na,Panama,napan,PAN,457,2019
Brazil,BRA,Oceania,oc,Marshall Islands,ocmhl,MHL,640,2019
Brazil,BRA,South America,sa,Argentina,saarg,ARG,15,2019
