Exporter,"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
Morocco,"Asia","as","Japan","asjpn","jpn",36,2018
Morocco,"Europe","eu","Belgium","eubel","bel",9361997,2018
Morocco,"Europe","eu","Spain","euesp","esp",154711,2018
Morocco,"Europe","eu","France","eufra","fra",50,2018
Morocco,"Europe","eu","Netherlands","eunld","nld",7903,2018
Morocco,"Asia","as","Japan","asjpn","jpn",2568,2019
Morocco,"Europe","eu","Belgium","eubel","bel",10767847,2019
Morocco,"Europe","eu","Spain","euesp","esp",194790,2019
Morocco,"Europe","eu","France","eufra","fra",62,2019
Morocco,"Europe","eu","United Kingdom","eugbr","gbr",8014,2019
Morocco,"Europe","eu","Netherlands","eunld","nld",178777,2019
Morocco,"Asia","as","Japan","asjpn","jpn",2648,2020
Morocco,"Europe","eu","Belgium","eubel","bel",12081482,2020
Morocco,"Europe","eu","Spain","euesp","esp",28365,2020
Morocco,"Europe","eu","France","eufra","fra",740055,2020
Morocco,"Europe","eu","United Kingdom","eugbr","gbr",34495,2020
Morocco,"Europe","eu","Netherlands","eunld","nld",255999,2020
Morocco,"Africa","af","Senegal","afsen","sen",32463,2021
Morocco,"Asia","as","Japan","asjpn","jpn",2469,2021
Morocco,"Europe","eu","Belgium","eubel","bel",12570112,2021
Morocco,"Europe","eu","Spain","euesp","esp",304487,2021
Morocco,"Europe","eu","France","eufra","fra",10375,2021
Morocco,"Europe","eu","United Kingdom","eugbr","gbr",93,2021
Morocco,"Europe","eu","Netherlands","eunld","nld",991273,2021
