Species,Family,Country
nigra Vinson,Nephilidae,['Madagascar']
inaurata (Walckenaer),Nephilidae,['Madagascar']
madagscariensis Vinson,Nephilidae,['Madagascar']
fatalis Harold,Buprestidae,['Angola']
wellmani (Kerremans),Buprestidae,['Angola']
wellmani Kerremans,Buprestidae,['Angola']
amplipennis (Fahr.),Buprestidae,['Angola']
castanea (Olivier),Buprestidae,['Benin']
feldspathica White,Buprestidae,['Angola']
funebris Boheman syn,Buprestidae,['Zimbabwe']
interrupta (Olivier),Buprestidae,['Benin']
orissa Buquet,Buprestidae,"['Botswana', 'South Africa', 'Zimbabwe']"
"confinis Laporte de Cast.
syn",Cerambycidae,['Zambia']
capensis White syn,Cerambycidae,['Zambia']
maculatus (F.) syn,Cerambycidae,['Zambia']
trifasciata (F.),Cerambycidae,"['Congo', 'Niger', 'Nigeria']"
tribulus Fabr.,Cerambycidae,"['Gabon', 'Senegal']"
burgeoni Breuning,Cerambycidae,['']
edulis Karsch,Cerambycidae,['']
natala Thomson,Cerambycidae,['Botswana']
downesi Hope,Cerambycidae,['']
gigas Fabr.,Cerambycidae,"['Gabon', 'Senegal']"
frenatus Fåhraeus,Cerambycidae,['']
brachyptera Thomson,Cerambycidae,['Congo']
downesi (Hope),Cerambycidae,"['Mozambique', 'South Africa']"
itzingeri katangensis,Cerambycidae,['Congo']
confinus (Cast.),Cerambycidae,['Zambia']
maculatus (F.),Cerambycidae,['Zambia']
capensis (White),Cerambycidae,['Zambia']
aulicus Bertolini,Cerambycidae,"['Angola', 'Congo']"
equestris Boheman,Curculionidae,['South Africa']
plumbeus Guérin,Curculionidae,['South Africa']
"aloysii-sabaudiae
Camerano",Curculionidae,['']
monachus (Oliv.),Dryophthoridae,['Madagascar']
phoenicis (Fabr.),Dryophthoridae,"['Angola', 'Benin', 'Congo', 'Niger', 'Nigeria']"
distinctus Reg.,Dytiscidae,"['Congo', 'Senegal', 'Sierra Leone']"
hova Alluaud syn,Dytiscidae,['Madagascar']
owas Laporte,Dytiscidae,['Madagascar']
sticticus (L.),Dytiscidae,['Kenya']
latus (Fairm.),Dytiscidae,['Madagascar']
flabellicornis (L.),Elateridae,['']
senegalensis (Percheron),Hydrophilidae,['Senegal']
serricornis (Latr.) syn,Lucanidae,['Madagascar']
serricornis (Latr.),Lucanidae,['Madagascar']
centaurus (Fabr.),Scarabaeidae Dynastinae,['Congo']
bennigseni Brenske syn,"Scarabaeidae
Melolonthinae",['']
elephas (Gerstaecker),Scarabaeidae Melolonthinae,['']
abbreviata F.,"Scarabaeidae
Cetoniinae",['Benin']
impressa (Olivier),"Scarabaeidae
Cetoniinae",['Benin']
varians G. & P.,"Scarabaeidae
Cetoniinae",['Benin']
cacicus Ol.,"Scarabaeidae
Cetoniinae",['']
regius Klug,"Scarabaeidae
Cetoniinae",['']
cameronensis check,"Scarabaeidae
Cetoniinae",['']
goliathus L.,"Scarabaeidae
Cetoniinae",['']
meles (Billberger),"Scarabaeidae
Dynastinae","['Niger', 'Nigeria']"
anatina Brenske,"Scarabaeidae
Melolonthinae",['Zimbabwe']
mashona Arrow,"Scarabaeidae
Melolonthinae",['Zimbabwe']
nitidicollis Kolbe,"Scarabaeidae
Melolonthinae",['Zimbabwe']
boas (Fabr.),Scarabaeidae Dynastinae,"['Congo', 'Niger', 'Nigeria', 'South Africa']"
monoceros (Oliv.),"Scarabaeidae
Dynastinae",['South Africa']
nasicornis (Linn.),"Scarabaeidae
Dynastinae",['Madagascar']
owariensis Beauvois,Scarabaeidae Dynastinae,"['Congo', 'South Africa']"
cordata (Drury),"Scarabaeidae
Cetoniinae",['Benin']
"marginata aurantia
(Herbst)","Scarabaeidae
Cetoniinae",['']
vossi Kolbe,"Scarabaeidae
Cetoniinae",['Benin']
"nebulosa Polihronakis
check!","Scarabaeidae
Melolonthinae",['Ghana']
femoralis Kirby,"Scarabaeidea
Scarabaeina",['Zambia']
barbata Afzelius,"Scarabaeidea
Trichiinae",['Congo']
femoralis Klug,"Scarabaeidea
Rutelinae",['']
bouchardi Legrand,"Scarabaeidae
Cetoniinae",['Benin']
saussurei Giglio-Tos,Tarachodidae,['']
garuana Giglio-Tos,Thespidae,['']
edulis Edwards,Chaoboridae,['']
pallidipes Theob.,Chaoboridae,['Uganda']
kungu Kimm.,Caenidae,['Malawi']
adusta Navas,Polymitarcidae,"['Kenya', 'Uganda']"
fieberi Mayr,Belostomatidae,['Togo']
wahlbergi Stål,Coreidae,['Zimbabwe']
remipes Signoret,Coreidae,['Zimbabwe']
wahlbergi (Stål) syn,Coreidae,['Zimbabwe']
viduatus (Fabr.),Dinidoridae,"['Namibia', 'Sudan', 'Zimbabwe']"
versicolor (Fabr.),Pentatomidae,['Sudan']
robusta Distant,Pentatomidae,['Malawi']
viridula (L.),Pentatomidae,"['Niger', 'Nigeria']"
delegorguei Spin.,Tessaratomidae,"['South Africa', 'Zimbabwe']"
delegorguei (Spin.) syn,Tessaratomidae,['South Africa']
delegorguei (Spin.) syn,Tessaratomidae,"['South Africa', 'Zimbabwe']"
pallidus (Westwood),Tessaratomidae,['Zimbabwe']
afzelii Stål,Cicadidae,['Congo']
duplex Diabola,Cicadidae,['Congo']
horizontalis Karsch,Cicadidae,['Congo']
leopardina Distant,Cicadidae,"['Congo', 'Zambia', 'Zimbabwe']"
insignis Distant,Cicadidae,['Botswana']
furva Distant,Cicadidae,['Congo']
adouma Distant,Cicadidae,['Congo']
stridula (L.),Cicadidae,['Zambia']
radiata (Karsch),Cicadidae,['Congo']
giovanninae Boulard,Cicadidae,['Congo']
limbalis (Karsch),Cicadidae,"['Congo', 'Zambia']"
limbata (F.),Cicadidae,['Congo']
limbimacula (Karsch),Cicadidae,['Congo']
rosea Melichar,Flatidae,['Madagascar']
rubra Signoret syn,Flatidae,['Madagascar']
tenebrosa Fabr. syn,Fulgoridae,['Madagascar']
tenebrosa Fabr.,Fulgoridae,['Madagascar']
mopani Pettey,Psyllidae,['Botswana']
mopani (Pettey),Psyllidae,['Botswana']
mellifera adansoni Latr.,Apidae,"['Congo', 'Zambia']"
mellifera mellifera L.,Apidae,"['Botswana', 'Congo', 'Niger', 'Nigeria', 'Senegal', 'Zambia']"
nebulata (Smith),Apidae,['']
erythra (Schletterer),Apidae,['']
ferruginea (Lep.),Apidae,['']
richardsi (Darchen),Apidae,['Congo']
tescorum (Cockerell) syn,Apidae,['']
staudingeri (Gribodo),Apidae,['Congo']
gribodoi (Magretti),Apidae,['Congo']
ruspolii (Magretti),Apidae,['Senegal']
"beccarii africana
Stadelman",Apidae,['']
beccarii (Gribodo),Apidae,['']
gambiana Moure,Apidae,['Senegal']
bocandei (Spin.),Apidae,['Congo']
ferruginea (Lep.),Apidae,['']
"ferruginea gambiensis
Moure syn",Apidae,['Senegal']
lendliana (Friese),Apidae,['Congo']
nebulata (Smith),Apidae,['']
richardsi Darchen,Apidae,['Congo']
lendliana (Friese),Apidae,['Congo']
occidentalis Darchen,Apidae,['Senegal']
senegalensis Darchen,Apidae,['Senegal']
lignata (species group),Formicidae,"['Botswana', 'Mozambique', 'Namibia', 'Sudan', 'South Africa', 'Zambia', 'Zimbabwe']"
vidua Smith,Formicidae,"['Malawi', 'South Africa', 'Zambia', 'Zimbabwe']"
nigricans Illiger,Formicidae,['']
longinoda (Latr.),Formicidae,"['Congo', 'Chad']"
hebraeus F.,Vespidae,"['Madagascar', 'Mauritius']"
"mossambicus (Hagen)
syn",Hodotermitidae,['Botswana']
viator (Latr.),Hodotermitidae,['South Africa']
natalensis (Haviland),Termitidae,['']
amplus (Sjöstedt),Termitidae,['Congo']
bellicosus (Smeathman),Termitidae,"['Congo', 'Kenya', 'Liberia', 'Niger', 'Nigeria', 'Togo']"
falciger (Gerstäcker),Termitidae,"['Benin', 'South Africa', 'Zambia', 'Zimbabwe']"
michaelseni (Sjöstedt),Termitidae,"['Botswana', 'Malawi']"
"mossambicus (Hagen)
syn",Termitidae,['']
muelleri (Sjöstedt) syn,Termitidae,['Congo']
natalensis (Haviland),Termitidae,"['Congo', 'Niger', 'Nigeria', 'Zimbabwe']"
subhyalinus (Rambur),Termitidae,"['Angola', 'Burundi', 'Kenya', 'Togo', 'Zambia']"
swaziae (Fuller) syn,Termitidae,['South Africa']
vitrialatus (Sjöstedt),Termitidae,['Zambia']
badius (Haviland),Termitidae,"['Kenya', 'South Africa', 'Zambia']"
capensis (DeGeer),Termitidae,['South Africa']
