HS2,HS2 ID,HS4,HS4 ID,HS6,HS6 ID,Section,Section ID,Trade Value,Year
Live animals,101,Horses,10101,"Horses: live, pure-bred breeding animals",1010121,Animal Products,1,65611243,2018
Live animals,101,Horses,10101,"Horses: live, other than pure-bred breeding animals",1010129,Animal Products,1,61016966,2018
Live animals,101,Horses,10101,Asses: live,1010130,Animal Products,1,469805,2018
Live animals,101,Horses,10101,Mules and hinnies: live,1010190,Animal Products,1,5273582,2018
Live animals,101,Bovine,10102,"Cattle: live, pure-bred breeding animals",1010221,Animal Products,1,57594837,2018
Live animals,101,Bovine,10102,"Cattle: live, other than pure-bred breeding animals",1010229,Animal Products,1,209852854,2018
Live animals,101,Bovine,10102,"Buffalo: live, other than pure-bred breeding animals",1010239,Animal Products,1,21295,2018
Live animals,101,Bovine,10102,Non-breeding Cattle,1010290,Animal Products,1,44776642,2018
Live animals,101,Pigs,10103,Pure-bred Breeding Pigs,1010310,Animal Products,1,28254602,2018
Live animals,101,Pigs,10103,Pigs Weighing Under 50 kg (Excluding Breeding Pigs),1010391,Animal Products,1,129858026,2018
Live animals,101,Pigs,10103,Pigs Weighing Over 50 kg (Excluding Breeding Pigs),1010392,Animal Products,1,80958592,2018
Live animals,101,Sheep and Goats,10104,Live Sheep,1010410,Animal Products,1,7483204,2018
Live animals,101,Sheep and Goats,10104,Live Goats,1010420,Animal Products,1,788849,2018
Live animals,101,Poultry,10105,Domestic Chickens Weighing Under 185 grams,1010511,Animal Products,1,59280102,2018
Live animals,101,Poultry,10105,"Small Turkeys (Live, weighing up to 185g)",1010512,Animal Products,1,303302,2018
Live animals,101,Poultry,10105,"Poultry: live, ducks, weighing not more than 185g",1010513,Animal Products,1,656127,2018
Live animals,101,Poultry,10105,"Poultry: live, fowls of the species Gallus domesticus, weighing more than 185g",1010594,Animal Products,1,155251348,2018
Live animals,101,Poultry,10105,Other Birds Weighing Over 185 grams (Excluding Domestic Chickens),1010599,Animal Products,1,953312,2018
