Exporter,Continent,Continent ID,Country,Country ID,ISO 3,Trade Value,Year
NDL,Africa,af,Cote d'Ivoire,afciv,civ,579,2018
NDL,Africa,af,Egypt,afegy,egy,2264,2018
NDL,Africa,af,Kenya,afken,ken,570673,2018
NDL,Africa,af,Morocco,afmar,mar,348570,2018
NDL,Africa,af,Senegal,afsen,sen,59369,2018
NDL,Africa,af,Tunisia,aftun,tun,153972,2018
NDL,Africa,af,Uganda,afuga,uga,26312,2018
NDL,Africa,af,South Africa,afzaf,zaf,386433,2018
NDL,Africa,af,Zimbabwe,afzwe,zwe,6725,2018
NDL,Asia,as,United Arab Emirates,asare,are,102145,2018
NDL,Asia,as,Armenia,asarm,arm,116600,2018
NDL,Asia,as,Azerbaijan,asaze,aze,28557,2018
NDL,Asia,as,Bahrain,asbhr,bhr,2042,2018
NDL,Asia,as,Cyprus,ascyp,cyp,24,2018
NDL,Asia,as,Georgia,asgeo,geo,2289,2018
NDL,Asia,as,India,asind,ind,89,2018
NDL,Asia,as,Iran,asirn,irn,107594,2018
NDL,Asia,as,Israel,asisr,isr,118966,2018
NDL,Asia,as,Jordan,asjor,jor,18674,2018
NDL,Asia,as,Japan,asjpn,jpn,1154341,2018
NDL,Asia,as,Kazakhstan,askaz,kaz,14819,2018
NDL,Asia,as,South Korea,askor,kor,978387,2018
NDL,Asia,as,Lebanon,aslbn,lbn,1827,2018
NDL,Asia,as,Sri Lanka,aslka,lka,61,2018
NDL,Asia,as,Malaysia,asmys,mys,468,2018
NDL,Asia,as,Oman,asomn,omn,1852,2018
NDL,Asia,as,Saudi Arabia,assau,sau,32574,2018
NDL,Asia,as,Turkey,astur,tur,439213,2018
NDL,Asia,as,Vietnam,asvnm,vnm,13269,2018
NDL,Europe,eu,Albania,eualb,alb,932,2018
NDL,Europe,eu,Austria,euaut,aut,2980,2018
NDL,Europe,eu,Belgium,eubel,bel,2875444,2018
NDL,Europe,eu,Bulgaria,eubgr,bgr,29062,2018
NDL,Europe,eu,Switzerland,euche,che,17727,2018
NDL,Europe,eu,Czechia,eucze,cze,660273,2018
NDL,Europe,eu,Germany,eudeu,deu,806300,2018
NDL,Europe,eu,Denmark,eudnk,dnk,446675,2018
NDL,Europe,eu,Spain,euesp,esp,316001,2018
NDL,Europe,eu,Estonia,euest,est,1,2018
NDL,Europe,eu,Finland,eufin,fin,212348,2018
NDL,Europe,eu,France,eufra,fra,2862936,2018
NDL,Europe,eu,United Kingdom,eugbr,gbr,1309533,2018
NDL,Europe,eu,Greece,eugrc,grc,2527,2018
NDL,Europe,eu,Croatia,euhrv,hrv,89,2018
NDL,Europe,eu,Hungary,euhun,hun,7,2018
NDL,Europe,eu,Ireland,euirl,irl,22,2018
NDL,Europe,eu,Iceland,euisl,isl,299217,2018
NDL,Europe,eu,Italy,euita,ita,5064561,2018
NDL,Europe,eu,Lithuania,eultu,ltu,4274,2018
NDL,Europe,eu,Moldova,eumda,mda,3683,2018
NDL,Europe,eu,North Macedonia,eumkd,mkd,6781,2018
NDL,Europe,eu,Malta,eumlt,mlt,27,2018
NDL,Europe,eu,Norway,eunor,nor,458072,2018
NDL,Europe,eu,Poland,eupol,pol,13884,2018
NDL,Europe,eu,Portugal,euprt,prt,107,2018
NDL,Europe,eu,Romania,eurou,rou,5,2018
NDL,Europe,eu,Russia,eurus,rus,1906872,2018
NDL,Europe,eu,Slovakia,eusvk,svk,2766,2018
NDL,Europe,eu,Slovenia,eusvn,svn,50969,2018
NDL,Europe,eu,Sweden,euswe,swe,6052,2018
NDL,Europe,eu,Ukraine,euukr,ukr,567175,2018
NDL,North America,na,Canada,nacan,can,6222375,2018
NDL,North America,na,Costa Rica,nacri,cri,126385,2018
NDL,North America,na,Dominican Republic,nadom,dom,1341,2018
NDL,North America,na,Guatemala,nagtm,gtm,146975,2018
NDL,North America,na,Honduras,nahnd,hnd,540,2018
NDL,North America,na,Mexico,namex,mex,3766217,2018
NDL,North America,na,El Salvador,naslv,slv,6159,2018
NDL,North America,na,United States,nausa,usa,220613,2018
NDL,Oceania,oc,Australia,ocaus,aus,15072,2018
NDL,Oceania,oc,New Zealand,ocnzl,nzl,2266,2018
NDL,South America,sa,Brazil,sabra,bra,74671,2018
NDL,South America,sa,Chile,sachl,chl,150289,2018
NDL,South America,sa,Colombia,sacol,col,584,2018
NDL,South America,sa,Ecuador,saecu,ecu,169264,2018
NDL,South America,sa,Peru,saper,per,1889,2018
NDL,Africa,af,Egypt,afegy,egy,1912,2019
NDL,Africa,af,Kenya,afken,ken,37335,2019
NDL,Africa,af,Morocco,afmar,mar,332240,2019
