Species;Country;Energy;Protein;CommonName
Imbrasia ertli;AGO;375;48.7;Moth
Usta terpsichore;AGO;371;44.1;Moth
Saturniidae;COD;458;66.6;Moth
"Witchetty grub""";AUS;417;13.2;Larvae
Mopanie worms;ZAF;444;56.8;Larvae
Anaphe venata;NGA;610;60.03;Moth
Lepidoptera: Notodontidae;COD;447;55.3;Moth
Anaphe panda;COD;543;45.6;Moth
Lepidoptera: Limacodidae;COD;397;69.6;Slug
Agrotis infusa (whole);AUS;301;26.8;Moth
Agrotis infusa (abdomen);AUS;457;21.7;Moth
Spent silkworm larvae;IND;;48.7;Larvae
Palm grubs, Rynchophorus sp.;COL;661;24.3;Beetle
"Grub (""aruk""), larva";PNG;266;20.2;Beetle
Beetles, Polycleis spp;KEN;192;27.1;Beetle
Sago grub larvae, Rhynchophorus Schach;PNG;240;12.1;Larvae
Palm weevil larvae, Rhynchophorus;AGO;562;20.34;Beetle
Locust, Locusta migratoria manillensis;PHL;147;13.7;Locust
Grasshoppers, Zonocerus s;KEN;170;26.8;Locust
Brachytrupes membranaceus;KEN;117;13.7;Cricket
Ant, female sexuals, Atta sexdens;COL;628;39.7;Ants
Ant, female sexuals, Atta cephalote;COL;580;48.1;Ants
Ant eggs, 'Itlog langgam';PHL;128;17.4;Ants
Tree ants, 'burgjog', Oecophylla sp;PNG;122;16.8;Ants
Tree ants, Oecophylla virescen;PNG;111;8.9;Ants
Termites, soldiers, Syntermes s;COL;467;58.9;Termites
Termites, Termes Spp;KEN;414;28.8;Termites
Termites, mature alates;AGO;612;38.42;Termites
Lake flies (cake), Chaoborus edulis;ZAF;382;48.6;Flies
Lake flies (flour);UGA;454;67;Flies
